END_USE_TYPE,TECHNOLOGY
ELECTRICITY,NUCLEAR
ELECTRICITY,CCGT
ELECTRICITY,CCGT_AMMONIA
ELECTRICITY,COAL_US
ELECTRICITY,COAL_IGCC
ELECTRICITY,PV
ELECTRICITY,WIND_ONSHORE
ELECTRICITY,WIND_OFFSHORE
ELECTRICITY,HYDRO_RIVER
ELECTRICITY,GEOTHERMAL
HEAT_HIGH_T,IND_COGEN_GAS
HEAT_HIGH_T,IND_COGEN_WOOD
HEAT_HIGH_T,IND_COGEN_WASTE
HEAT_HIGH_T,IND_BOILER_GAS
HEAT_HIGH_T,IND_BOILER_WOOD
HEAT_HIGH_T,IND_BOILER_OIL
HEAT_HIGH_T,IND_BOILER_COAL
HEAT_HIGH_T,IND_BOILER_WASTE
HEAT_HIGH_T,IND_DIRECT_ELEC
HEAT_LOW_T_DHN,DHN_HP_ELEC
HEAT_LOW_T_DHN,DHN_COGEN_GAS
HEAT_LOW_T_DHN,DHN_COGEN_WOOD
HEAT_LOW_T_DHN,DHN_COGEN_WASTE
HEAT_LOW_T_DHN,DHN_COGEN_WET_BIOMASS
HEAT_LOW_T_DHN,DHN_COGEN_BIO_HYDROLYSIS
HEAT_LOW_T_DHN,DHN_BOILER_GAS
HEAT_LOW_T_DHN,DHN_BOILER_WOOD
HEAT_LOW_T_DHN,DHN_BOILER_OIL
HEAT_LOW_T_DHN,DHN_DEEP_GEO
HEAT_LOW_T_DHN,DHN_SOLAR
HEAT_LOW_T_DECEN,DEC_HP_ELEC
HEAT_LOW_T_DECEN,DEC_THHP_GAS
HEAT_LOW_T_DECEN,DEC_COGEN_GAS
HEAT_LOW_T_DECEN,DEC_COGEN_OIL
HEAT_LOW_T_DECEN,DEC_ADVCOGEN_GAS
HEAT_LOW_T_DECEN,DEC_ADVCOGEN_H2
HEAT_LOW_T_DECEN,DEC_BOILER_GAS
HEAT_LOW_T_DECEN,DEC_BOILER_WOOD
HEAT_LOW_T_DECEN,DEC_BOILER_OIL
HEAT_LOW_T_DECEN,DEC_SOLAR
HEAT_LOW_T_DECEN,DEC_DIRECT_ELEC
